Time,State,Pump 1 Voltage,Pump 2 Voltage
2389.572021,Idle,0,0
2390.172119,Idle,0,0
2390.771973,Idle,0,0
2391.37207,Idle,0,0
2391.971924,Idle,0,0
2392.572021,Idle,0,0
2393.172119,Idle,0,0
2393.771973,Idle,0,0
2394.37207,Idle,0,0
2394.971924,Idle,0,0
2395.572021,Idle,0,0
2396.172119,Idle,0,0
2396.771973,Idle,0,0
2397.37207,Idle,0,0
2397.971924,Idle,0,0
2398.572021,Idle,0,0
2399.172119,Idle,0,0
2399.771973,Idle,0,0
2400.37207,Idle,0,0
2400.971924,Idle,0,0
2401.572021,Idle,0,0
2402.172119,Idle,0,0
2402.771973,Idle,0,0
2403.37207,Idle,0,0
2403.971924,Idle,0,0
2404.572021,Idle,0,0
2405.172119,Idle,0,0
2405.771973,Idle,0,0
2406.37207,Idle,0,0
2406.971924,Idle,0,0
2407.572021,Idle,0,0
2408.172119,Idle,0,0
2408.771973,Idle,0,0
2409.37207,Idle,0,0
2409.971924,Idle,0,0
2410.572021,Idle,0,0
2411.172119,Idle,0,0
2411.771973,Idle,0,0
2412.37207,Idle,0,0
2412.971924,Idle,0,0
2413.572021,Idle,0,0
2414.172119,Idle,0,0
2414.771973,Idle,0,0
2415.37207,Idle,0,0
2415.971924,Idle,0,0
2416.572021,Idle,0,0
2417.172119,Idle,0,0
2417.771973,Idle,0,0
2418.37207,Idle,0,0
2418.971924,Idle,0,0
2419.572021,Idle,0,0
2420.172119,Idle,0,0
2420.771973,Idle,0,0
2421.37207,Idle,0,0
2421.971924,Idle,0,0
2422.572021,Idle,0,0
2423.172119,Idle,0,0
2423.771973,Idle,0,0
2424.37207,Idle,0,0
2424.971924,Idle,0,0
2425.572021,Idle,0,0
2426.172119,Idle,0,0
2426.771973,Idle,0,0
2427.37207,Idle,0,0
2427.971924,Idle,0,0
2428.572021,Idle,0,0
2429.172119,Idle,0,0
2429.771973,Idle,0,0
2430.37207,Idle,0,0
2430.971924,Idle,0,0
2431.572021,Idle,0,0
2432.172119,Idle,0,0
2432.771973,Idle,0,0
2433.37207,Idle,0,0
2433.971924,Idle,0,0
2434.572021,Idle,0,0
2435.172119,Idle,0,0
2435.771973,Idle,0,0
2436.37207,Idle,0,0
2436.971924,Idle,0,0
2437.572021,Idle,0,0
2438.172119,Idle,0,0
2438.771973,Idle,0,0
2439.37207,Idle,0,0
2439.971924,Idle,0,0
2440.572021,Idle,0,0
2441.172119,Idle,0,0
2441.771973,Idle,0,0
2442.37207,Idle,0,0
2442.971924,Idle,0,0
2443.572021,Idle,0,0
2444.172119,Idle,0,0
2444.771973,Idle,0,0
2445.37207,Idle,0,0
2445.971924,Idle,0,0
2446.572021,Idle,0,0
2447.172119,Idle,0,0
2447.771973,Idle,0,0
2448.37207,Idle,0,0
2448.971924,Idle,0,0
2449.572021,Idle,0,0
2450.172119,Idle,0,0
2450.771973,Idle,0,0
2451.37207,Idle,0,0
2451.971924,Idle,0,0
2452.572021,Idle,0,0
2453.172119,Idle,0,0
2453.771973,Idle,0,0
2454.37207,Idle,0,0
2454.971924,Idle,0,0
2455.572021,Idle,0,0
2456.172119,Idle,0,0
2456.771973,Idle,0,0
2457.37207,Idle,0,0
2457.971924,Idle,0,0
2458.572021,Idle,0,0
2459.172119,Idle,0,0
2459.771973,Idle,0,0
2460.37207,Idle,0,0
2460.971924,Idle,0,0
2461.572021,Idle,0,0
2462.172119,Idle,0,0
2462.771973,Idle,0,0
2463.37207,Idle,0,0
2463.971924,Idle,0,0
2464.572021,Idle,0,0
2465.172119,Idle,0,0
2465.771973,Idle,0,0
2466.37207,Idle,0,0
2466.971924,Idle,0,0
2467.572021,Idle,0,0
2468.172119,Idle,0,0
2468.771973,Idle,0,0
2469.37207,Idle,0,0
2469.971924,Idle,0,0
2470.572021,Idle,0,0
2471.172119,Idle,0,0
2471.771973,Idle,0,0
2472.37207,Idle,0,0
2472.971924,Idle,0,0
2473.572021,Idle,0,0
2474.172119,Idle,0,0
2474.771973,Idle,0,0
2475.37207,Idle,0,0
2475.971924,Idle,0,0
2476.572021,Idle,0,0
2477.172119,Idle,0,0
2477.771973,Idle,0,0
2478.37207,Idle,0,0
2478.971924,Idle,0,0
2479.572021,Idle,0,0
2480.172119,Idle,0,0
2480.771973,Idle,0,0
2481.37207,Idle,0,0
2481.971924,Idle,0,0
2482.572021,Idle,0,0
2483.172119,Idle,0,0
2483.771973,Idle,0,0
2484.37207,Idle,0,0
2484.971924,Idle,0,0
2485.572021,Idle,0,0
2486.172119,Idle,0,0
2486.771973,Idle,0,0
2487.37207,Idle,0,0
2487.971924,Idle,0,0
2488.572021,Idle,0,0
2489.172119,Idle,0,0
2489.771973,Idle,0,0
2490.37207,Idle,0,0
2490.971924,Idle,0,0
2491.572021,Idle,0,0
2492.172119,Idle,0,0
2492.771973,Idle,0,0
2493.37207,Idle,0,0
2493.971924,Idle,0,0
2494.572021,Idle,0,0
2495.172119,Idle,0,0
2495.771973,Idle,0,0
2496.37207,Idle,0,0
2496.971924,Idle,0,0
